id,CODI_BASE,DSL,la,dc,sre,srd,dire,dird,dife,difd,dure,durd
670,1723,1694,0.0412663,0.651479,4518.17,5341.64,4741.36,4520.2,1526.58,1529.65,12.4584,12.2505
671,1724,1685,0.0963582,2.06129,6512.46,6291.73,5165.68,4678.03,1580.76,1592.75,11.3547,11.2644
672,1725,1727,0.0168658,0.164755,6548.02,6702.47,5082.88,5062.05,1543.39,1563.96,11.9948,11.7685
673,1726,NULL,0.450964,NULL,6856.78,NULL,4901,NULL,1459.46,NULL,12.7598,NULL
674,1727,1737,2.59967,12.3962,6339.6,6279.21,5033.73,4705.17,1522,1470.62,12.1553,11.9326
675,1728,3279,0.351262,4.8744,6460.36,6316.1,5021.43,4659.18,1522.89,1477.37,11.4236,12.0494
676,1729,1778,0.703933,74.5625,5890.91,5867.04,5160.55,4179.63,1511.87,1470.98,12.1107,12.0467
677,1730,NULL,0.0132035,NULL,6274.81,NULL,4947.11,NULL,1543.56,NULL,11.3343,NULL
678,1731,1706,0.684062,3.23076,6028.77,5989.6,5052.29,4692.76,1508.31,1476.52,12.3947,12.3109
679,1732,1522,0.32776,4.82695,6798.96,6816.52,5207.53,5093.18,1451.53,1450.28,12.0044,11.7526
680,1733,1522,1.48309,113.313,5849.41,5685.83,4954.25,4312.77,1399.99,1360.08,10.8963,10.8125
681,1734,1715,0.0455791,3.60294,6807.54,6374.74,4752.2,4378.14,1496.75,1455.62,12.5724,11.877
682,1735,3250,0.142774,3.80758,6439.81,6033.27,4978.91,4362.3,1468.16,1497.53,13.2477,12.3168
683,1736,NULL,0.0483832,NULL,6449.41,NULL,5118.75,NULL,1547.87,NULL,12.932,NULL
684,1737,XX170,0.0815333,2.25361,6744.01,6442.73,4940.52,3866.91,1420.39,1445.6,12.3025,12.0059
685,1738,NULL,0.0393142,NULL,6537.33,NULL,4980.33,NULL,1511.29,NULL,12.9613,NULL
686,1739,3245,4.96001,21.5006,5314.04,5882.13,4996.4,4292.2,1486.87,1421.33,10.9962,11.7791
687,1740,NULL,0.0145837,NULL,5108.69,NULL,5111.37,NULL,1487.84,NULL,9.77456,NULL
688,1741,XX103,0.195267,5.75253,5671.15,5644.97,4797.86,4337.07,1447.8,1380.45,10.2295,10.3196
689,1742,NULL,0.0244142,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
690,1743,NULL,0.0440338,NULL,6528.59,NULL,4954.07,NULL,1523.5,NULL,13.1198,NULL
691,1744,1735,0.179761,9.89979,5756.41,5711.17,5050.71,4204.31,1483.27,1453.86,13.004,11.905
692,1745,NULL,10.8295,122.774,6474.64,6368.39,5067.88,4742.94,1516.58,1452.69,11.6268,11.3165
693,1746,1748,0.0671031,2.30348,5692.6,5242.51,4769.83,4079.01,1415.44,1454.98,11.7857,11.2116
694,1747,1717,0.0159691,1.39005,6295.09,6202.77,5088.38,4935.81,1492.04,1485.53,11.9673,12.6116
695,1748,1766,0.145458,1.37998,5106.92,5346.41,5155.06,4803.03,1572.74,1581.23,13.3633,11.6143
696,1749,XX156,0.0706997,0.295542,5318.89,5401.11,5146.44,5144.46,1543.39,1536.25,12.5245,12.3104
697,1750,NULL,0.0573245,NULL,6732.98,NULL,5258.09,NULL,1539.42,NULL,11.8838,NULL
698,1751,NULL,0.498539,NULL,6680.9,NULL,5004.51,NULL,1462.32,NULL,11.6639,NULL
699,1752,3245,0.0219434,0.315868,6469.21,6384.89,4592,4184.76,1455.26,1441.77,11.9567,11.9465
700,1753,3048,0.223662,14.4341,6895.25,6765.34,5252.78,5063.69,1584.41,1477.62,11.9854,11.4322
701,1754,1762,0.0485375,0.895884,6301.64,6032.58,4928.18,4973.34,1531.4,1538.92,12.8746,12.5803
702,1755,1761,3.66189,15.0386,6128.07,5879.5,4903.01,4662.91,1459.56,1415.54,11.6658,11.4839
703,1756,1766,0.0237245,1.7895,5793.17,5673.9,4956.61,4739.02,1617.15,1605.25,13.3526,12.8842
704,1757,NULL,0.187971,NULL,6607.03,NULL,4934.77,NULL,1544.34,NULL,13.7927,NULL
705,1758,1752,0.0365429,0.362252,6428.46,6290.16,4783.09,4421.53,1447.18,1430.77,11.9103,11.8592
706,1759,NULL,0.631878,9.66121,6315.83,6229.41,5040.98,5022.9,1517.87,1468.61,13.5756,12.4741
707,1760,NULL,0.0206807,NULL,6591.28,NULL,5256.85,NULL,1511.84,NULL,13.1693,NULL
708,1761,3009,0.860706,12.7787,5781.66,5954.18,4959.95,4610.13,1468.83,1429.79,10.5447,11.2168
709,1762,1776,0.0505213,0.462031,6639.76,6588.22,5217.78,5153.9,1524.11,1505.8,12.4782,12.689
710,1763,1746,0.0203526,0.142195,NULL,5270.46,NULL,5347.94,NULL,1570.37,NULL,11.5665
711,1764,XX103,0.617443,47.663,5684.96,5144.17,4901.45,3665.4,1392.98,1330.19,10.7983,10.1281
