id,CODI_BASE,DSL,la,dc,sre,srd,dire,dird,dife,difd,dure,durd
377,1423,NULL,0.0325454,NULL,3383.56,NULL,2827.22,NULL,1050.59,NULL,9.15529,NULL
378,1424,NULL,0.0028422,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
379,1425,1434,0.0159312,1.11816,4422.4,4347.21,3032.1,2745.51,1048.96,1049.53,9.05547,9.66255
380,1426,NULL,0.00536484,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
381,1427,1418,0.0547851,NULL,3804.57,NULL,3020.82,NULL,981.303,NULL,8.69622,NULL
382,1428,NULL,0.0851133,17.6665,3610.44,2973.51,2739.05,2035.19,1000.05,967.369,7.4633,7.23243
383,1429,1418,0.0143086,0.0825847,3978.58,3936.06,3067.41,3127.74,1064.09,1063.27,9.33686,9.49319
384,1430,NULL,0.00387583,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
385,1431,3098,0.164804,3.26285,3313.78,3524.36,2731.01,2773.44,984.384,971.638,8.43823,8.36211
386,1432,3391,0.00820887,0.196041,NULL,4123.7,NULL,3215.88,NULL,1050.9,NULL,9.20299
387,1433,NULL,0.00309139,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
388,1434,1511,0.166918,1.99213,4115.49,4082.64,2856.44,2912.96,1040.06,1042.37,9.80827,9.65247
389,1435,1408,0.0601158,2.03108,4014.18,3843.85,2669.59,2889.3,1015.17,964.091,8.03919,7.59096
390,1436,NULL,0.00713128,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
391,1437,1522,0.233076,32.7309,4563.91,4203.03,2810.8,3225.79,979.003,996.072,10.3291,9.70669
392,1438,NULL,0.099858,NULL,3528.97,NULL,2777.88,NULL,999.757,NULL,9.37757,NULL
393,1439,NULL,0.192554,NULL,3911.91,NULL,2889.17,NULL,1051.41,NULL,8.54648,NULL
394,1441,NULL,26.9953,228.623,3443.48,3969.48,2812.16,3025.43,1000.52,990.84,8.8775,9.73146
395,1442,NULL,0.0150993,NULL,3492.38,NULL,3054.17,NULL,1020.2,NULL,9.48541,NULL
396,1443,NULL,0.00310391,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
397,1444,1396,0.193263,2.90701,3831.25,3925.69,2879.24,2775.18,1061.1,1050.07,8.10508,9.08739
398,1445,NULL,0.0850971,NULL,3987.24,NULL,2841.06,NULL,1024.75,NULL,10.3221,NULL
399,1446,NULL,0.0044157,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
400,1447,1428,0.115182,7.01918,3574.47,3092.81,2750.99,2490.41,992.171,1003.06,7.95512,7.50043
401,1448,NULL,0.00135002,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
402,1449,NULL,0.00288985,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
403,1450,NULL,0.000612498,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
404,1451,NULL,0.0341453,NULL,3309.95,NULL,2785.97,NULL,972.885,NULL,8.6691,NULL
405,1452,NULL,0.035729,NULL,4183.52,NULL,3054.8,NULL,1074.65,NULL,9.45961,NULL
406,1453,NULL,0.00119455,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
407,1454,NULL,0.0109328,NULL,3815.2,NULL,2920.11,NULL,1035.82,NULL,10.3571,NULL
408,1455,NULL,0.328513,NULL,4319.46,NULL,2954.02,NULL,1027.13,NULL,9.86794,NULL
409,1456,NULL,0.0082195,NULL,4285.71,NULL,3049.07,NULL,1064.75,NULL,9.84199,NULL
410,1457,NULL,0.00566491,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
411,1458,1422,0.179317,1.26408,3769.62,3732.69,2767.52,2670.37,1009.54,992.64,8.61779,8.4926
412,1459,1418,0.066178,0.691296,2686.24,3394.43,2908.69,3052.01,1006.98,990.253,7.82983,8.36012
413,1460,NULL,0.00395472,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
414,1461,NULL,0.00233672,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
415,1462,NULL,0.0812471,NULL,3162.03,NULL,2675.92,NULL,1030.85,NULL,9.46034,NULL
416,1463,1353,0.758356,119.663,2216.96,3610.25,2730.56,2949.89,881.333,906.286,7.87312,7.96623
417,1464,NULL,0.00632657,NULL,3982.63,NULL,2802,NULL,1066.25,NULL,10.3572,NULL
418,1465,NULL,0.0551516,NULL,3528.48,NULL,2819.29,NULL,985.283,NULL,8.70365,NULL
419,1466,NULL,0.00438048,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
420,1467,NULL,0.0999746,NULL,2641.12,NULL,3011.08,NULL,1012.07,NULL,7.86044,NULL
421,1468,NULL,0.0761269,NULL,4039.51,NULL,2958.53,NULL,1074.73,NULL,10.1965,NULL
422,1469,1522,0.490292,20.9195,4040.83,4278.3,2832.47,3292.49,982.773,971.971,8.62791,9.47374
423,1470,NULL,0.0116235,NULL,3980.68,NULL,2972.48,NULL,1044.43,NULL,9.96601,NULL
424,1471,1431,4.92055,54.9075,2395.04,3184.44,2635.17,2174.24,971.065,952.655,5.74037,7.12918
425,1474,1499,0.175861,2.18754,4366.93,4172.95,2836.49,2999.27,941.542,919.088,9.17981,8.90848
426,1475,NULL,0.0215789,NULL,4136.83,NULL,2663.82,NULL,1004.31,NULL,9.41927,NULL
427,1476,NULL,0.049583,NULL,2948.83,NULL,2983.6,NULL,1015.79,NULL,8.48383,NULL
428,1477,1418,0.443471,3.85365,3577.44,3744.39,2814.7,3068.06,975.372,955.753,8.57044,8.56535
