id,CODI_BASE,DSL,la,dc,sre,srd,dire,dird,dife,difd,dure,durd
2571,1045,NULL,0.0164332,NULL,4636.53,NULL,3424.92,NULL,1217.03,NULL,8.82018,NULL
2572,1046,NULL,0.137257,NULL,5028.9,NULL,3744.8,NULL,1284.1,NULL,9.90744,NULL
2573,1047,NULL,0.125948,NULL,4935.85,NULL,3736.48,NULL,1199.37,NULL,7.91522,NULL
2574,1048,NULL,1.57422,47.9306,4787.36,4341.93,3593.1,2885.98,1194.28,1188.61,7.75284,9.09324
2575,1049,NULL,0.453272,NULL,5049.19,NULL,3818.96,NULL,1230.24,NULL,9.66234,NULL
2576,1050,NULL,0.0159628,NULL,5081.61,NULL,3210.76,NULL,1219.96,NULL,9.46104,NULL
2577,1051,NULL,0.0410466,NULL,3923.32,NULL,3754.29,NULL,1236.52,NULL,9.03131,NULL
2578,1053,NULL,0.0117247,NULL,4382.76,NULL,3908.03,NULL,1199,NULL,8.02406,NULL
2579,1054,NULL,0.0150879,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2580,1055,NULL,0.00565614,NULL,4448.8,NULL,3878.58,NULL,1256.07,NULL,9.82956,NULL
2581,1056,NULL,0.0587664,NULL,4949.36,NULL,3646.14,NULL,1303.22,NULL,9.87758,NULL
2582,1057,NULL,0.0911586,NULL,5485.01,NULL,4164.81,NULL,1320.2,NULL,10.5597,NULL
2583,1058,NULL,0.0113747,NULL,5513.75,NULL,4165.4,NULL,1348.35,NULL,11.1495,NULL
2584,1059,NULL,0.010556,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2585,1060,NULL,0.185388,NULL,5331.6,NULL,4128.62,NULL,1202.99,NULL,9.97937,NULL
2586,8001,NULL,6.17685,56.8616,5138.12,4888.44,3894.52,3694.89,1243.61,1193.53,10.0834,9.97862
2587,8002,NULL,1.07299,41.0617,4731.03,3379.54,3655.16,2230.87,1075.88,1148.67,8.75673,8.37597
2588,8004,NULL,6.3257,459.251,4676.85,4202.4,3538.69,3067.41,1138.16,1134.98,8.78755,8.90021
2589,8006,NULL,2.27377,19.0071,5316.15,5492.51,4028.9,4237.79,1287.25,1254.71,10.9872,10.8071
2590,8007,NULL,7.47333,118.652,4928.91,4110.39,3747.91,2921.55,1180.99,1188.84,8.62986,8.77109
2591,8008,NULL,0.500607,5.29951,5297.81,4695.59,3987.32,3387.1,1310.49,1308.49,11.801,11.5522
2592,8009,NULL,0.937629,30.4188,5222.81,4194.09,3935.68,2937.16,1287.12,1256.92,10.7639,10.1109
2593,8010,NULL,26.5692,460.713,4971.16,4396.21,3775.76,3220.43,1195.38,1175.78,9.16548,8.78828
2594,8011,NULL,0.079482,40.9745,5017.29,3288.53,3813.8,2144.1,1203.49,1144.43,9.96981,7.56332
2595,8012,NULL,0.554859,11.8309,5268.07,4633.65,4058.8,3473.58,1209.28,1160.07,10.3831,9.81658
2596,8013,NULL,6.63212,55.4764,5393.53,5026.06,4019.19,3692.01,1374.34,1334.06,11.1835,10.6968
2597,8014,NULL,4.12266,NULL,5429.26,NULL,4067.69,NULL,1361.56,NULL,11.6135,NULL
2598,8015,NULL,0.6913,3.97462,5225.26,4936.53,3921.83,3643.57,1303.43,1292.96,9.5474,9.84428
2599,8016,NULL,2.99234,98.2028,5158.95,5064.71,3885.6,3845.66,1273.34,1219.05,9.7424,9.9643
2600,8017,NULL,0.7843,25.2869,5146.1,4580.45,3903.67,3357.02,1242.44,1223.42,9.72941,9.70849
2601,8018,8217,1.18323,4.91415,5425.56,5444.66,4123.45,4137.92,1302.12,1306.74,10.9897,11.2338
2602,8019,8217,0.632525,23.9842,5073.52,3575.46,3867.6,2432.97,1205.93,1142.51,10.1166,8.04006
2603,8020,NULL,0.685742,28.9458,5220.28,4201.4,3939.41,2961.08,1280.87,1240.34,11.7213,10.4498
2604,8021,NULL,0.699892,24.6514,5022.57,3910.94,3803.6,2720.86,1218.97,1190.08,10.7982,10.0101
2605,8022,NULL,0.959668,12.467,5214.81,4831.66,3977.17,3522.97,1237.64,1308.68,11.1828,10.7191
2606,8023,NULL,4.29076,170.359,4781.26,3606.45,3602.33,2513.71,1178.94,1092.73,9.41404,7.8608
2607,8024,NULL,1.94658,111.572,4958.64,4439.26,3750.41,3254.55,1208.23,1184.71,10.0205,9.49907
2608,8025,NULL,0.628944,22.3504,5222.24,3788.88,4028.38,2629.98,1193.85,1158.89,9.12888,8.5709
2609,8026,NULL,3.13752,36.0746,4929.97,4707.61,3792.36,3576.12,1137.62,1131.48,8.61934,8.9745
2610,8027,8028,11.0153,266.068,4839.01,4717.58,3653.64,3566.61,1185.36,1150.97,8.68748,8.95657
2611,8028,8026,0.810398,86.8763,5035.64,4313.8,3926.51,3070.1,1109.14,1243.7,8.93736,9.22089
2612,8029,NULL,52.8465,761.341,5057.84,4729.18,3858.36,3515.45,1199.48,1213.74,10.3711,9.66537
2613,8030,8029,1.04776,8.72338,5261.48,5281.72,4000.55,4080.83,1260.92,1200.9,11.1024,10.814
2614,8031,8029,0.665134,39.7851,4358.9,4624.16,3297.15,3587.21,1061.75,1036.95,7.24443,7.85142
2615,8032,NULL,0.789348,121.097,4952.5,4257.25,3758,3042.16,1194.5,1215.08,8.80551,8.74709
2616,8033,NULL,6.76977,121.59,5152.17,4357.67,3894.37,3102.16,1257.8,1255.51,10.2688,9.92228
2617,8034,8029,1.91875,99.9103,5339.99,4248.79,4028.73,3019.44,1311.25,1229.36,9.77014,8.88381
2618,8035,NULL,0.667527,3.26728,5353.07,4727.35,3990.03,3417.51,1363.04,1309.85,10.3775,10.0144
2619,8036,8029,5.65106,472.547,5267.43,4897.08,4021.67,3665.9,1245.77,1231.17,10.6946,10.0122
2620,8037,8035,2.63465,19.4398,5668.96,5027.97,4327.01,3746.96,1341.95,1281.01,10.9324,10.1793
2621,8038,NULL,4.48494,20.1584,5471.91,5369.91,4192.66,4099.18,1279.26,1270.74,9.95586,10.1545
2622,8039,8037,4.74243,63.0563,5513.14,4745.16,4219.87,3494.25,1293.27,1250.91,10.648,9.57452
2623,8040,NULL,9.51235,231.698,4931.57,3954.67,3746.37,2759.03,1185.19,1195.65,9.19041,9.19743
2624,8041,8036,0.626251,20.0906,5147.73,4448.56,3860.08,3208.49,1287.66,1240.07,9.51524,9.84174
